Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
11;infrastructure;ASUS;10:C3:7B:C9:54:B4;;2;No;WPA2,AES-CCM;No;130.0;0;7;0;1;0;0;1;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:17 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Techno;00:1F:C6:3D:92:DC;;11;No;WPA2,AES-CCM;No;54.0;0;24;0;1;0;0;1;;;Sun Nov 25 03:07:47 2018;Sun Nov 25 03:08:15 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Xiaomi_003F;F0:B4:29:83:00:40;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;18;0;14;0;0;14;;;Sun Nov 25 03:07:47 2018;Sun Nov 25 03:08:16 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;island-238720;30:87:D9:63:87:23;;3;No;WPA2,AES-CCM;No;130.0;0;22;0;0;0;0;0;;;Sun Nov 25 03:07:45 2018;Sun Nov 25 03:08:17 2018;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;nnz;00:26:5A:32:C4:1D;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;15;0;1;0;0;1;;;Sun Nov 25 03:07:47 2018;Sun Nov 25 03:08:19 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Tetnet;64:66:B3:33:80:C4;;5;No;WPA2,AES-CCM;No;270.0;0;23;0;0;0;0;0;;;Sun Nov 25 03:07:46 2018;Sun Nov 25 03:08:19 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;WiFi-Dom.ru-3624;E0:46:9A:3B:1B:3A;;3;No;WPA2,WPA,AES-CCM,TKIP;No;65.0;0;62;0;995;0;0;995;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:18 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;athome191;7C:8B:CA:83:E2:1C;;11;No;WPA2,AES-CCM;No;270.0;0;47;0;0;0;0;0;;;Sun Nov 25 03:07:46 2018;Sun Nov 25 03:08:19 2018;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;ASUS;14:DD:A9:CD:F7:70;;6;No;WPA2,AES-CCM;No;130.0;0;32;0;3;0;0;3;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:16 2018;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Hobbit_2.4G;B0:4E:26:D9:22:E2;;1;No;WPA2,WPA,AES-CCM,TKIP;No;405.0;0;59;0;0;0;0;0;;;Sun Nov 25 03:07:44 2018;Sun Nov 25 03:08:18 2018;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
